"old.code","new.code","type.org","broad.category","major.group","univ","hosp","two.digit","further.category","division.subdivision","broad.category.description","major.group.description","code.name","division.subdivision.description","keywords","further.category.desciption"
"H42","RG-HEL-H42","RG","HEL","H",FALSE,FALSE,"42","","42","Health, Non-Hospital","Medical Research","Ear & Throat Diseases Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases and conditions that affect the head and neck including the ears, the respiratory and upper alimentary systems, the face, the jaws and related structures. The related medical specialty is otolaryngology.","Apnea Research, Cheyne-Stokes Respiration Research, Ciliary Motility Disorders Research, Cochlear Diseases Research, Croup Research, Deafness Research, Endolymphatic Hydrops Research, Glue Ear Research, Hearing and Speech Impairments Reseaerch, Hearing Disorders Research, Hearing Loss Research, Herpes Zoster Oticus Research, Hyperacusis Research, Hyperventilation Research, Kartagener Syndrome Research, Labyrinth Diseases Research, Labyrinthitis Research, Laryngeal Diseases Research, Laryngismus Research, Laryngitis Research, Laryngostenosis Research, Menieres Disease Research, Middle Ear Cholesteatoma Research, Motion Sickness Research, Nasopharyngeal Diseases Research, Nose Diseases Research, Otitis Research, Otorhinolaryngologic Diseases Research, Otosclerosis Research, Pharyngeal Diseases Research, Pharyngeal Diseases Research, Pharyngitis Research, Retrocochlear Diseases Research, Retropharyngeal Abscess Research, Rhinoscleroma Research, Sinusitis Research, Sleep Apnea Research, Thoracic Diseases Research, Tinnitus Research, Tone Deafness Research, Tonsillitis Research, Tympanic Membrane Perforation Research, Velopharyngeal Insufficiency Research, Vertigo Research, Vestibular Diseases Research, Vocal Cord Paralysis Research, Voice Disorders Research, Whooping Cough Research"," "
"H43","RG-HEL-H43","RG","HEL","H",FALSE,FALSE,"43","","43","Health, Non-Hospital","Medical Research","Heart & Circulatory System Diseases & Disorders Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases or conditions, including stroke, that affect the heart, lungs and blood vessels. The related medical specialty is cardiovascular medicine, a subspecialty of internal medicine.","Aneurysm Research, Angina Pectoris Research, Angiodysplasia Research, Angioneurotic Edema Research, Aortic Diseases Research, Arrhythmia Research, Arterial Occulsive Diseases Research, Arteriosclerosis Research, Arteritis Research, Bradycardia Research, Capillary Leak Syndrome Research, Carcinoid Heart Disease Research, Cardiac Arrest Research, Cardiac Tamponade Research, Cardiomegaly Research, Cardiovascular Diseases Research, Carotid Stenosis Research, Congestive Heart Failure Research, Coronary Thrombosis Research, CREST Syndrome Research, Dysrhythmia Research, Embolism Research, Endocarditis Research, Erythromelalgia Research, Fibromuscular Dysplasia Research, Heart Aneurysm Research, Heart Diseases Research, Heart Valve Disease Research, High Blood Pressure Research, Hperemia Research, Hypertension Research, Hypertrophy Research, Hypotension Research, Ischemic Heart Disease Research, Leriches Syndrome Research, Low Blood Pressure Research, Mesenteric Vascular Occulsion Research, Mitral Valve Prolapse Research, Myocardial Diseases Research, Myocardial Infarction Research, Myocardial Ischemia Research, Paroxysmal Tachycardia Research, Pericardial Effusion Research, Pericarditis Research, Peripheral Vascular Diseases Research, Phlebitis Research, Phlebolgy Research, Pneumopericardium Research, Polyarteritis Nodosa Research, Postpericardiotomy Syndrome Research, Postphlebitic Syndrome Research, Pulmonary Heart Disease Research, Pulmonary Veno-Occulsive Disease Research, Raynauds Disease Research, Retinal Vein Occulsion Research, Rheumatic Heart Disease Research, Scimitar Syndrome Research, Shwartzman Phenomenon Research, Spinal Cord Vascular Diseases Research, Stroke Research, Superior Vena Cava Syndrome Research, Tachycardia Research, Telangiectasis Research, Thoracic Outlet Syndrome Research, Thromboangiitis Obiterans Research, Thrombophlebitis Research, Thrombosis Research, Varicose Veins Research, Variococele Research, Vascualr Fistula Research, Vascular Diseases Research, Vasculitis Research, Vasuclar Hemostatic Disorders Research, Venous Disorders Research, Venous Insufficiency Research, Ventricular Dysfunciton Research, Waldenstrom Macroglobulinemia Research"," "
"H44","RG-HEL-H44","RG","HEL","H",FALSE,FALSE,"44","","44","Health, Non-Hospital","Medical Research","Kidney Diseases  Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases and conditions that affect the kidneys. The related medical specialty is nephrology, a subspecialty of internal medicine.","Anuria Research, Cystic Kidney Research, Fanconi Syndrome Research, Glomerulonephritis Research, Hemolytic-Uremic Syndrome Research, Hepatorenal Syndrome Research, Hydronephosis Research, Kidney Calculi Research, Kidney Cortex Necrosis Research, Kidney Failure Research, Kidney Papillary Necrosis Research, Kidney Stones Research, Nephritis Research, Nephrocalcinosis Research, Nephrosclerosis Research, Nephrosis Research, Nephrotic Syndrome Research, Perinephritis Research, Primary Hyperoxaluria Research, Pyelitis Research, Pyelonephritis Research, Real Artery Obstruction Research, Renal Failure Research, Renal Hypertension Research, Renal Osteodystrophy Research, Uremia Research"," "
"H45","RG-HEL-H45","RG","HEL","H",FALSE,FALSE,"45","","45","Health, Non-Hospital","Medical Research","Lung Diseases Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases and conditions that affect the lungs. The related medical specialty is pulmonary disease specialists.","Asbestosis Research Research, Berylliosis Research, Black Lung Disease Research, Bronchial Diseases Research, Bronchiolitis Obliterans Research, Bronchitis Research, Bronchopulmonary Dysplasia Research, Byssinosis Research, Caplans Syndrome Research, Dyspnea Research, Emphysema Research, Eosinophilic Granuloma Research, Goodpasture Syndrome Research, Hand-Schueller-Christian Syndrome Research, Hemoptysis Research, Hyaline Membrane Disease Research, Interstitial Lung Diseases Research, Langerhans-Cell Histiocytosis Research, Letterer-Siwe Disease Research, Lung Abscess Research, Meconium Aspiration Research, Middle Lobe Syndrome Research, Non-Langerhans-Cell Histiocytosis Research, Obstructive Lung Diseases Research, Parasitic Lung Diseases Research, Pleural Diseases Research, Pleurisy Research, Pleuropneumonia Research, Pneumoconiosis Research, Pneumonia Research, Pulmonary Alveolar Proteinosis Research, Pulmonary Coin Lesion Research, Pulmonary Diseases Research, Pulmonary Edema Research, Pulmonary Embolism Research, Pulmonary Eosinophilia Research, Pulmonary Fibrosis Research, Pulmonary Plasma Cell Granuloma Research, Pulmonary Sarcoidosis Research, Radiation Pneumonitis Research, Respiration Disorders Research, Respiratory Distress Syndrome Research, Respiratory Insufficiency Research, Respiratory System Diseases Research, Respiratory Tract Diseases Research, Siderosis Research, Silicosis Research, Silo Fillers Disease Research, Tuberculosis Research, Wegeners Granulomatosis Research"," "
"H48","RG-HEL-H48","RG","HEL","H",FALSE,FALSE,"48","","48","Health, Non-Hospital","Medical Research","Brain Disorders Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases and conditions that affect the brain.","Basal Ganglia Diseases Research, Brain Damage Research, Brain Diseases Research, Brain Injury Research, Brain Tumor Research, Cerebellar Diseases Research, Cerebrovascular Disorders Research, Chorea Gravidarum Research, Dejerine-Roussy Syndrome Research, Encephalomalacia Research, Hallervorden-Spatz Syndrome Research, Head Injury Research, Headache Disorders Research, Intracranial Hypertension Research, Intracranial Hypotension Research, Migraine Research, Seitelbergers Disease Research, Thalamic Diseases Research, Traumatic Brain Injury Research"," "
"H50","RG-HEL-H50","RG","HEL","H",FALSE,FALSE,"50","","50","Health, Non-Hospital","Medical Research","Nerve, Muscle & Bone Diseases Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases or conditions that affect the nerves, muscles or bones. Use this code for organizations whose research focuses on a wide variety of nerve, muscle or bone diseases or on those not specified below. The related medical specialty is orthopedic surgery.","ALS Research, Amyotrophic Lateral Sclerosis Research, Arnold Chiari Syndrome Research, Arthrogryposis Research, Atrophic Muscular Disorders Research, Autonomic Nervous System Diseases Research, Batten Disease Research, Bell Palsy Research, Bell's Palsy Research, Bone Diseases Research, Bursitis Research, Cartilage Diseases Research, Central Nervous System Diseases Research, Chronic Fatigue Syndrome Research, Chronobiology Disorders Research, Circadian Rhythm Sleep Disorders Research, Connective Tissue Diseases Research, De Quervain Disease Research, Dysautonomia Research, dystonia Research, Fibromyalgia Research, Guillain-Barre Syndrome Research, Hemiplegia Research, Jet Lag Syndrome Research, Joint Diseases Research, Lou Gehrig Disease Research, Miller Fisher Syndrome Research, Mitochondrial Myopathies Research, MS Research, Multiple Sclerosis Research, Muscular Diseases Research, Muscular Dystrophy Research, Musculoskeletal & Connective Tissue Diseases Research, Musculoskeletal Diseases Research, Myasthenia Gravis Research, Myoclonus Research, Myositis Research, Nervous System Diseases Research, Nervous System Trauma Research, Neurological Diseases Research, Osteoporosis Research, RParkinsons Disease Research, heumatic Diseases Research, Scheuermann Disease Research, Scoliosis Research, Spinal Cord Injury Research, Spinal Diseases Research, Spinal Disorders Research, Spondylitis Research, Spondylolisthesis Research, Tendinitis Research, Tennis Elbow Research, Tenosynovitis Research, Tietzes Syndrome Research, Tuberous Sclerosis Research"," "
"H51","RG-HEL-H51","RG","HEL","H",FALSE,FALSE,"51","","51","Health, Non-Hospital","Medical Research","Arthritis Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of arthritis (including osteoarthritis and rheumatoid arthritis), an inflammatory condition affecting the joints. The related medical specialty is rheumatology, a subspecialty of internal medicine, though rheumatology is broader and covers more conditions than arthritis.","Ankylosing Spondylitis Research, Chondrocalcinosis Research, Gout Research, Neurotrophic Arthritis Research, Osteoathritis Research, Palindromic Arthritis Research, Psoriatic Arthritis Research, Reiter Disease Research, Rheumatism Research, Rheumatoid Arthritis Research, Spondylarthritis Research"," "
"H54","RG-HEL-H54","RG","HEL","H",FALSE,FALSE,"54","","54","Health, Non-Hospital","Medical Research","Epilepsy Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of epilepsy, a recurrent paroxysmal disorder of cerebral function that is characterized by sudden brief interruptions in or complete loss of consciousness, motor activity and/or sensory phenomena.","Grand Mal Research Research, Haut Mal Research Research, Petit Mal Research"," "
"H60","RG-HEL-H60","RG","HEL","H",FALSE,FALSE,"60","","60","Health, Non-Hospital","Medical Research","Allergy-Related Diseases Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases and conditions that involve hypersensitivity to substances that do not normally cause a reaction. Use this code for organizations whose research focuses on a wide variety of allergy-related diseases or on specific allergy-related diseases.","Allergies Research, Anaphylaxis Research, Angioneurotic Edema Research, Drug Hypersensitivity Research, Environmental Illness Research, Food Allergies Research, Food Hypersensitivity Research, Hay Fever Research, Hives Research, Hypersensitivity Research, Latex Hypersensitivity Research, Multiple Chemical Sensitivities Research, Rhinitis Research, Sick Building Syndrome Research, Urticaria Research, Wissler Syndrome Research"," "
"H61","RG-HEL-H61","RG","HEL","H",FALSE,FALSE,"61","","61","Health, Non-Hospital","Medical Research","Asthma Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of asthma, a disorder of the bronchial system that is characterized by labored breathing and wheezing.","Bronchial Asthma Research, Status Asthmaticus Research"," "
"H70","RG-HEL-H70","RG","HEL","H",FALSE,FALSE,"70","","70","Health, Non-Hospital","Medical Research","Digestive Diseases & Disorders Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases and conditions such as abdominal pain, ulcers, diarrhea or jaundice that affect the digestive system including the stomach, bowels, liver, gallbladder and related organs. The related medical specialty is gastroenterology, a subspecialty of internal medicine.","Abdominal Pain Research, Biliary Tract Diseases Research, Colitis Research, Crohns Disease Research, Curlings Ulcer Research, Diarrhea Research, Digestive System Diseases Research, Diverticulosis Research, Duodenal Ulcer Research, Esophageal Diseases Research, Gallbladder Diseases Research, Gastroenteritis Research, Gastrointestinal Diseases Research, Hernia Research, Ileitis Research, Intestinal Diseases Research, Jaundice Research, Mesenteric Vascular Occlusion Research, Pancreatic Diseases Research, Pancreatic Diseases Research, Peptic Ulcer Research, Peritoneal Diseases Research, Protein-Losing Enteropathies Research, Stomach Diseases Research, Stomach Ulcer Research, Visceroptosis Research"," "
"H80","RG-HEL-H80","RG","HEL","H",FALSE,FALSE,"80","","80","Health, Non-Hospital","Medical Research","Specifically Named Diseases Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of specifically named diseases and conditions. Use this code for organizations that conduct research on a multiplicity of named diseases or on named diseases not specified below.","Achlorhydria Research, Achylia Gastrica Research, Acne Research, Acneiform Eruptions Research, Acquired Language Disorders Research, Addisons Diseases Research, Adiposis Dolorosa Research, Agent Orange Research, Agraphia Research, Alcoholism Research, Alopecia Research, alpha 1-Antitrypsin Deficiency Research, Amebiasis Research, Amyloidosis Research, Anemia Research, Anomia Research, Aphasia Research, Articulation Disorders Research, Avitaminosis Research, Besnier-Boeck Disease Research, Blind Loop Syndrome Research, Boecks Sarcoid Disease Research, Bovine Spongiform Encephalopathy (BSE) Research, Breast Diseases Research, Burns Research, Calcium Metabolism Disorders Research, Carpal Tunnel Syndrome Research, Cavernous Hemangioma Research, Celiac Disease Research, Chiari-Frommel Syndrome Research, Child Nutrition Disorders Research, Chlamydia Research, Cholera Research, Coagulation Defects Research, Communications Disorders Research, Cretinism Research, Creutzfeldt-Jakob Disease Research, Cryoglobulinemia Research, Cushing Syndrome Research, Deficiency Diseases Research, Dengue Fever Research, Dermatitis Research, Dermatomyositis Research, Dermatoses Research, Desert Storm Syndrome Research, Diabetes Research, Dwarfism Research, Dysarthria Research, Dyslexia Research, Dystrophic Epidermolysis Bullosa Research, Ebola Virus Hemorrhagic Fever Research, Echolalia Research, Eczema Research, Ehlers-Danlos Syndrome Research, Encephalitis Research, Endocrine Diseases Research, Epstein-Barr Virus Research, Erythema Research, Euthyroid Sick Syndromes Research, Exanthema Research, Expressive Language Disorder Research, Fifth Disease Research, Food Poisoning Research, Foodborne Infections Research, Foot Diseases Research, Frommels Disease Research, Galactorrhea Research, Genital Herpes Research, Genital Warts Research, Glucose Intolerance Research, Goiter Research, Gonadal Disorders Research, Gonorrhea Research, Graves Disease Research, Gynecomastia Research, Hair Diseases Research, Head Lice Research, Hemic Disease Research, Hemorrhagic Fevers Research, Hirsutism Research, Histiocytosis Research, Hookworm Infection Research, Hyperammonemia Research, Hyperbilirubinemia Research, Hyperglobulinemic Purpura Research, Hyperglycemia Research, Hyperinsulinemia Research, Hyperinsulinemia Research, Hyperinsulinism Research, Hyperlipidemia Research, Hyperoxaluria Research, Hyperparathyroidism Research, Hyperprolactinemia Research, Hyperthyroidism Research, Hyperthyroxinemia Research, Hypervitaminosis A Research, Hypochlorhydria Research, Hypoglycemia Research, Hypoparathyroidism Research, Hypothyroidism Research, Immunological Diseases Research, Immunoparasitology Research, Infectious Diseases Research, Injuries Research, Intertrigo Research, Iron Metabolism Disorders Research, Iron Overload Research, Iron-Deficiency Anemia Research, Juvenile Xanthogranuloma Research, Keratoacanthoma Research, Keratosis Research, Kimura Disease Research, Kussmaul Aphasia Research, Lactation Disorders Research, Lactose Intolerance Research, Language Disorders Research, Learning Disabilities Research, Lipodystrophy Research, Lupus Research, Lyme Disease Research, Lymphatic Diseases Research, Mad Cow Disease Research, Magnesium Deficiency Research, Malabsorption Syndromes Research, Malaria Research, Marchiafava-Micheli Syndrome Research, Mast-Cell Disease Research, Mastitis Research, Mastocytosis Research, Meningitis Research, Metabolic Diseases Research, Metabolic Skin Diseases Research, Metabolic Syndrome X Research, Mitochondrial Diseases Research, Mononucleosis Research, Mutism Research, Myxedema Research, Nail Diseases Research, Narcolepsy Research, Necrobiosis Lipoidica Research, Necrobiotic Disorders Research, Neurodermatitis Research, Nutrition Disorders Research, Nutritional Diseases Research, Obesity Research, Ochronosis Research, Orchitis Research, Orphan Diseases Research, Owrens Disease Research, Panniculitis Research, Papulosquamous Skin Diseases Research, Parasitology Research, Parasitic Diseases Research, Parathyroid Diseases Research, Persian Gulf Syndrome Research, Phosphorus Metabolism Disorders Research, Photosensitivity Disorders Research, Pickwickian Syndrome Research, Pigmentation Disorders Research, Pituitary Diseases Research, Pityriasis Lichenoides Research, Pityriasis Rosea Research, Pityriasis Rubra Pilaris Research, Plague Research, Porphyria Research, Potassium Deficiency Research, Prader-Willi Syndrome Research, Protein Deficiency Research, Prurigo Research, Pruritus Research, Rare Diseases Research, Refetoff Syndrome Research, Refetoff-DeWind-DeGroot Syndrome Research, Reyes Syndrome Research, Rocky Mountain Spotted Fever Research, Roundworm Research, Sarcoidosis Research, Scabies Research, Schamberg Disease Research, Schaumann Disease Research, Schistosomiasis Research, Schoenlein-Henoch Purpura Research, Scleredema Research, Scurvy Research, Sexually Transmitted Diseases Research, Short Bowel Syndrome Research, Sjogrens Syndrome Research, Skin Diseases Research, Sleeping Sickness Research, Speech Disorders Research, Stammering Research, Stuart-Prower Disease Research, Stuttering Research, Syphilis Research, TB Research, Testicular Diseases Research, Thymus Hyperplasia Research, Thyroid Diseases Research, Thyroid Hormone Resistance Syndrome Research, Thyroiditis Research, Thyrotoxicosis Research, Tick-borne Diseases Research, Trauma Research, Trichomoniasis Research, Tropical Diseases Research, Tropical Sprue Research, Typhoid Fever Research, Varicocele Research, Venereal Diseases Research, Virilism Research, Vitamin Deficiency Research, Vitiligo Research, von Willebrand Disease Research, Waldenstrom Macroglobulinemia Research, Warts Research, Wasting Disease Research, Wasting Syndrome Research, Water-Electrolyte Imbalance Research, Waterhouse-Friderichsen Syndrome Research, West Nile Encephalitis Research, West Nile Virus Research, Whipples Disease Research, Wounds Research, Xanthomatosis Research, Yellow Fever Research"," "
"H81","RG-HEL-H81","RG","HEL","H",FALSE,FALSE,"81","","81","Health, Non-Hospital","Medical Research","AIDS Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of AIDS, a disease that impairs the functioning of the bodys immune system, leaving affected individuals vulnerable to illnesses that would not otherwise occur.","Acquired Immunodeficiency Syndrome Research, HIV Related Diseases Research, HIV Research, HIV/AIDS Research, Human Immunodeficiency Virus Research"," "
"H83","RG-HEL-H83","RG","HEL","H",FALSE,FALSE,"83","","83","Health, Non-Hospital","Medical Research","Alzheimers Disease Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of Alzheimers disease, a form of presenile dementia which is caused by atrophy of the front and occipital lobes of the brain.",""," "
"H84","RG-HEL-H84","RG","HEL","H",FALSE,FALSE,"84","","84","Health, Non-Hospital","Medical Research","Autism Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of autism, a developmental disability, usually evident by age three, which affects a childs ability to communicate, understand language, play and relate to others.","Aspergers Disorder Research, Autistic Disorder Research, Childhood Disintegration Disorder Research, Pervasive Developmental Disorder Research"," "
"H90","RG-HEL-H90","RG","HEL","H",FALSE,FALSE,"90","","90","Health, Non-Hospital","Medical Research","Medical Disciplines Research","Organizations that conduct research which can be used to improve the options available to physicians who have special training and expertise in one clinical area of practice which focuses on a specific age group, an organ system of the body, or complex scientific techniques developed to diagnose or treat certain types of disorders. Use this code for organizations whose research covers a wide variety of medical disciplines or those that are not specified below.","Anesthesiology Research, Cardiology Research, Cardiovascular Medicine Research, Chiropractic Research, Dermatology Research, Emergency Medicine Research, Endocrinology Research, Family Practice Research, Forensic Medicine Research, Gastroenterology Research, Geriatrics Research, Gynecologists Research, Hematology Research, Immunology Research, Infectious Disease Research, Internal Medicine Research, Mortuary Science Research, Nephrology Research, Nuclear Medicine Research, OB/GYN Research, Obstetric/Gynecology Research, Occupational Medicine Research, Oncology Research, Ophthalmology Research, Optometry Research, Osteopathic Medicine Research, Otolaryngology Research, Pathology Research, Phlebology Research, Physical Medicine Research, Podiatry Research, Preventive Medicine Research, Psychiatry Research, Pulmonary Disease Specialists Research, Radiology Research, Rehabilitative Medicine Research, Reproductive Medicine Research, Rheumatology Research, Urology Research, Venereology Research"," "
"H92","RG-HEL-H92","RG","HEL","H",FALSE,FALSE,"92","","92","Health, Non-Hospital","Medical Research","Biomedicine & Bioengineering Research","Organizations that conduct research which can be used to improve the options available to physicians who have advanced training in the development, implantation and utilization of cardiac pacemakers, cochlear implants and other hearing aids, artificial limbs and joints and other similar devices.","Biomedical Engineering Research, Biomedical Research, Biomedicine Research, Clinical Engineering Research, Rehabilitation Engineering Research"," "
"H94","RG-HEL-H94","RG","HEL","H",FALSE,FALSE,"94","","94","Health, Non-Hospital","Medical Research","Geriatrics Research","Organizations that conduct research which can be used to improve the options available to physicians who have advanced training in the medical specialty which provides preventive, diagnostic and treatment services for elderly individuals who have diseases or conditions that are associated with the aging process.",""," "
"H96","RG-HEL-H96","RG","HEL","H",FALSE,FALSE,"96","","96","Health, Non-Hospital","Medical Research","Neurology & Neuroscience Research","Organizations that conduct research which can be used to improve the options available to physicians who have advanced training in the medical specialty which provides comprehensive medical management including preventive, diagnostic and treatment services for individuals who have diseases or injuries that affect the central, peripheral or autonomic nervous systems including the brain, cranial nerves, spinal cord, spinal nerves and other related structures.","Neurology Research, Neurosciences Research"," "
"H98","RG-HEL-H98","RG","HEL","H",FALSE,FALSE,"98","","98","Health, Non-Hospital","Medical Research","Pediatrics Research","Organizations that conduct research which can be used to improve the options available to physicians who have advanced training in the biological, social and environmental factors that have an influence on a developing child and expertise in diagnosing and treating acute and chronic diseases that are common to children and youth.","Neonatology Research, Perinatology Research"," "
"H99","RG-HEL-H99","RG","HEL","H",FALSE,FALSE,"99","","99","Health, Non-Hospital","Medical Research","Medical Research N.E.C.","Use this code for organizations that clearly provide services related to research regarding diseases, disorders or medical specialties where the major purpose is unclear enough that a more specific code cannot be accurately assigned.",""," "
"H9B","RG-HEL-H9B","RG","HEL","H",FALSE,FALSE,"9B","","9B","Health, Non-Hospital","Medical Research","Surgical Specialties Research","Organizations that conduct research which can be used to improve the options available to physicians who have advanced training in the medical specialty which diagnoses conditions which require surgical intervention and provide preoperative, operative and postoperative care for surgical patients.","Colon & Rectal Surgery, Colorectal Surgery Research, Cosmetic Surgery Research, Neurological Surgery Research, Neurosurgery Research, Orthopedics Research, Orthopedic Surgery Research, Plastic Surgery Research, Reconstructive Surgery Research, Thoracic Surgery Research, Traumatology Research"," "
"I01","AA-HMS-I00","AA","HMS","I",FALSE,FALSE,"01","","00","Human Services","Crime & Legal-Related","Alliances & Advocacy","Alliance/Advocacy Organizations","Lobbying, Public Awareness"," "
"I0130","AA-HMS-I30","AA","HMS","I",FALSE,FALSE,"01","30","30","Human Services","Crime & Legal-Related",NA,"Alliance/Advocacy Organizations",NA,"Providing support to privately operated, community-based nonprofit correctional facilities for adults or juveniles who have been sentenced to imprisonment after conviction for an offense. These facilities serve the same function as government-operated programs, and most operate on a contract with the county or the state."
"I0180","AA-HMS-I80","AA","HMS","I",FALSE,FALSE,"01","80","80","Human Services","Crime & Legal-Related",NA,"Alliance/Advocacy Organizations",NA,"Providing support to organizations that provide general legal aid regarding criminal and/or civil matters at little or no cost for individuals who are economically disadvantaged."
"I02","MT-HMS-I00","MT","HMS","I",FALSE,FALSE,"02","","00","Human Services","Crime & Legal-Related","Management & Technical Assistance","Management and Technical Assistance","Professional Continuing Education"," "
"I0260","MT-HMS-I60","MT","HMS","I",FALSE,FALSE,"02","60","60","Human Services","Crime & Legal-Related",NA,"Management and Technical Assistance",NA,"Providing support to law enforcement associations, advisory councils or other nonprofit community groups that provide advice and direction for police departments; auxiliaries or other community-based organizations that collect and disburse money in aid of injured police officers or in support of local law enforcement activities; and other nonprofit groups that have an interest in law enforcement issues."
"I03","PA-HMS-I00","PA","HMS","I",FALSE,FALSE,"03","","00","Human Services","Crime & Legal-Related","Professional Societies & Associations","Professional Societies/Associations","Associations of Crisis Negotiators, Association of Hostage Negotiators, Crisis Negotiation Associations, Hostage Association Negotiators"," "
"I0321","PA-HMS-I21","PA","HMS","I",FALSE,FALSE,"03","21","21","Human Services","Crime & Legal-Related",NA,"Professional Societies/Associations",NA,"Providing support to organizations that offer a variety of activities for youth who have demonstrated or are at risk for behavior which is likely to be unlawful or to involve them in the juvenile justice system. Also included are community councils, coalitions and other groups whose primary purpose is to prevent delinquency."
"I0350","PA-HMS-I50","PA","HMS","I",FALSE,FALSE,"03","50","50","Human Services","Crime & Legal-Related",NA,"Professional Societies/Associations",NA,"Providing support to organizations that are concerned with court administration; court reform including the rights and privileges of prisoners, incarceration alternatives and other criminal justice issues; and alternatives to litigation."
"I0360","PA-HMS-I60","PA","HMS","I",FALSE,FALSE,"03","60","60","Human Services","Crime & Legal-Related",NA,"Professional Societies/Associations",NA,"Providing support to law enforcement associations, advisory councils or other nonprofit community groups that provide advice and direction for police departments; auxiliaries or other community-based organizations that collect and disburse money in aid of injured police officers or in support of local law enforcement activities; and other nonprofit groups that have an interest in law enforcement issues."
"I0380","PA-HMS-I80","PA","HMS","I",FALSE,FALSE,"03","80","80","Human Services","Crime & Legal-Related",NA,"Professional Societies/Associations",NA,"Providing support to organizations that provide general legal aid regarding criminal and/or civil matters at little or no cost for individuals who are economically disadvantaged."
"I05","RP-HMS-I00","RP","HMS","I",FALSE,FALSE,"05","","00","Human Services","Crime & Legal-Related","Research Institutes & Public Policy Analysis","Research Institutes and/or Public Policy Analysis",""," "
"I0520","RP-HMS-I20","RP","HMS","I",FALSE,FALSE,"05","20","20","Human Services","Crime & Legal-Related",NA,"Research Institutes and/or Public Policy Analysis",NA,"Providing support to organizations that provide information and services that help the public protect themselves from crime or which prevent its occurrence. Also included are organizations that provide a mechanism for reporting crimes. Use this code for crime prevention programs not specified below."
"I0540","RP-HMS-I40","RP","HMS","I",FALSE,FALSE,"05","40","40","Human Services","Crime & Legal-Related",NA,"Research Institutes and/or Public Policy Analysis",NA,"Providing support to organizations that provide counseling, job seeking assistance and other nonresidential supportive services that help adult and/or juvenile offenders re-integrate into the community following their release from a correctional facility. Use this code for rehabilitation services not specified below."
"I0550","RP-HMS-I50","RP","HMS","I",FALSE,FALSE,"05","50","50","Human Services","Crime & Legal-Related",NA,"Research Institutes and/or Public Policy Analysis",NA,"Providing support to organizations that are concerned with court administration; court reform including the rights and privileges of prisoners, incarceration alternatives and other criminal justice issues; and alternatives to litigation."
"I0580","RP-HMS-I80","RP","HMS","I",FALSE,FALSE,"05","80","80","Human Services","Crime & Legal-Related",NA,"Research Institutes and/or Public Policy Analysis",NA,"Providing support to organizations that provide general legal aid regarding criminal and/or civil matters at little or no cost for individuals who are economically disadvantaged."
"I11","MS-HMS-I00","MS","HMS","I",FALSE,FALSE,"11","","00","Human Services","Crime & Legal-Related","Single Organization Support","Monetary Support - Single Organization",""," "
"I1160","MS-HMS-I60","MS","HMS","I",FALSE,FALSE,"11","60","60","Human Services","Crime & Legal-Related",NA,"Monetary Support - Single Organization",NA,"Providing support to law enforcement associations, advisory councils or other nonprofit community groups that provide advice and direction for police departments; auxiliaries or other community-based organizations that collect and disburse money in aid of injured police officers or in support of local law enforcement activities; and other nonprofit groups that have an interest in law enforcement issues."
"I12","MM-HMS-I00","MM","HMS","I",FALSE,FALSE,"12","","00","Human Services","Crime & Legal-Related","Fund Raising & Fund Distribution","Monetary Support - Multiple Organizations",""," "
"I1272","MM-HMS-I72","MM","HMS","I",FALSE,FALSE,"12","72","72","Human Services","Crime & Legal-Related",NA,"Monetary Support - Multiple Organizations",NA,"Providing support to organizations that deal specifically with the prevention of child abuse including incest through educational interventions which may focus on children of various ages, parents, people who work with families and/or the community at large."
"I1280","MM-HMS-I80","MM","HMS","I",FALSE,FALSE,"12","80","80","Human Services","Crime & Legal-Related",NA,"Monetary Support - Multiple Organizations",NA,"Providing support to organizations that provide general legal aid regarding criminal and/or civil matters at little or no cost for individuals who are economically disadvantaged."
"I19","NS-HMS-I00","NS","HMS","I",FALSE,FALSE,"19","","00","Human Services","Crime & Legal-Related","Support N.E.C.","Nonmonetary Support Not Elsewhere Classified (N.E.C.)",""," "
